Region,Year,Energy
Africa,2000,22069.636
Africa,2001,22210.692
Africa,2002,22432.294
Africa,2003,22830.153
Africa,2004,22827.692
Africa,2005,22892.582
Africa,2006,22988.935
Africa,2007,23315.638
Africa,2008,23811.242
Africa,2009,26116.612
Africa,2010,27279.256
Africa,2011,27737.629
Africa,2012,28723.162
Africa,2013,30919.891
Africa,2014,32930.449
Africa,2015,35248.71
Africa,2016,37901.635
Africa,2017,43485.267
Africa,2018,48816.099
Africa,2019,51278.135
Africa,2020,53823.956
Asia,2000,171471.169
Asia,2001,182574.788
Asia,2002,187966.492
Asia,2003,202351.291
Asia,2004,217994.105
Asia,2005,235259.406
Asia,2006,255750.764
Asia,2007,278385.311
Asia,2008,311937.793
Asia,2009,349254.441
Asia,2010,387396.151
Asia,2011,433587.701
Asia,2012,478804.909
Asia,2013,553431.93
Asia,2014,632697.866
Asia,2015,722311.777
Asia,2016,813365.48
Asia,2017,921341.295
Asia,2018,1026423.702
Asia,2019,1123348.228
Asia,2020,1289955.013
Central America,2000,4767.6
Central America,2001,4894.161
Central America,2002,5179.668
Central America,2003,5482.699
Central America,2004,5665.325
Central America,2005,6576.154
Central America,2006,6638.61
Central America,2007,7107.045
Central America,2008,7231.743
Central America,2009,7549.011
Central America,2010,7791.93
Central America,2011,8584.97
Central America,2012,9466.298
Central America,2013,9782.874
Central America,2014,10479.299
Central America,2015,11794.307
Central America,2016,13400.293
Central America,2017,14178.367
Central America,2018,14906.452
Central America,2019,15915.859
Central America,2020,16242.816
Eurasia,2000,60511.87
Eurasia,2001,61405.67
Eurasia,2002,62279.97
Eurasia,2003,63075.77
Eurasia,2004,63377.84
Eurasia,2005,63974.31
Eurasia,2006,64612.01
Eurasia,2007,65908.58
Eurasia,2008,66899.65
Eurasia,2009,68311.65
Eurasia,2010,70258.42
Eurasia,2011,72052.233
Eurasia,2012,76995.653
Eurasia,2013,81329.959
Eurasia,2014,84813.21
Eurasia,2015,88617.04
Eurasia,2016,91668.675
Eurasia,2017,96621.151
Eurasia,2018,100763.59
Eurasia,2019,104842.198
Eurasia,2020,110860.148
Europe,2000,190758.478
Europe,2001,196421.011
Europe,2002,203603.148
Europe,2003,211248.411
Europe,2004,221093.309
Europe,2005,233817.256
Europe,2006,244682.995
Europe,2007,256917.254
Europe,2008,273128.124
Europe,2009,295546.787
Europe,2010,322119.614
Europe,2011,360884.364
Europe,2012,395158.586
Europe,2013,419917.298
Europe,2014,440777.951
Europe,2015,465029.012
Europe,2016,488569.378
Europe,2017,512818.314
Europe,2018,537526.943
Europe,2019,575074.548
Europe,2020,609116.359
Middle East,2000,4518.065
Middle East,2001,4518.07
Middle East,2002,4886.07
Middle East,2003,6422.07
Middle East,2004,8451.6
Middle East,2005,9548.1
Middle East,2006,10452.542
Middle East,2007,11346.201
Middle East,2008,11240.026
Middle East,2009,11350.914
Middle East,2010,12132.587
Middle East,2011,12556.557
Middle East,2012,13217.311
Middle East,2013,14087.993
Middle East,2014,15592.42
Middle East,2015,16893.711
Middle East,2016,17767.044
Middle East,2017,18819.622
Middle East,2018,20335.676
Middle East,2019,23058.286
Middle East,2020,25349.789
North America,2000,173031.5
North America,2001,173428.5
North America,2002,176846
North America,2003,179679.5
North America,2004,180855.7
North America,2005,184607.2
North America,2006,189908.7
North America,2007,197993.3
North America,2008,207744.4
North America,2009,220459.9
North America,2010,232371.9
North America,2011,243377.9
North America,2012,263163.9
North America,2013,272488.49
North America,2014,286214.91
North America,2015,307743.825
North America,2016,331330.61
North America,2017,347730.56
North America,2018,366899.361
North America,2019,388863.129
North America,2020,420711.229
Oceania,2000,13460.753
Oceania,2001,13730.02
Oceania,2002,13825.466
Oceania,2003,14003.85
Oceania,2004,14457.636
Oceania,2005,15594.231
Oceania,2006,15769.09
Oceania,2007,16443.451
Oceania,2008,16760.394
Oceania,2009,17454.048
Oceania,2010,18528.69
Oceania,2011,20363.591
Oceania,2012,22199.338
Oceania,2013,23714.521
Oceania,2014,25236.292
Oceania,2015,26386.277
Oceania,2016,27345.106
Oceania,2017,28568.969
Oceania,2018,30779.387
Oceania,2019,36037.657
Oceania,2020,42909.185
South America,2000,112698.736
South America,2001,114657.62
South America,2002,116700.405
South America,2003,119854.136
South America,2004,124139.193
South America,2005,127156.462
South America,2006,130643.206
South America,2007,135169.433
South America,2008,137863.002
South America,2009,140951.386
South America,2010,147052.446
South America,2011,152032.465
South America,2012,156032.864
South America,2013,161215.663
South America,2014,170342.301
South America,2015,178743.541
South America,2016,193296.986
South America,2017,202581.597
South America,2018,213302.285
South America,2019,223616.612
South America,2020,233035.901
